ED_ID_CSV,COUNTY,PROVINCE,GEOGDESC,T1_1AGETT_2006,T2_1PLBP_2006,T2_1PLN_2006,T2_1IEN_2006,T2_1LTN_2006,T2_1LTBP_2006,PLN_PRE_2006,T1_1AGETT_2011,T1_2T_2011,T2_1PLBP_2011,T2_1IEN_2011,T2_1PLN_2011,PLN_PRE_2011,T1_1AGETT_2016,T1_2T_2016,T2_1PLBP_2016,T2_1IEN_2016,T2_1PLN_2016,T2_5PL_2016,PLN_PRE_2016
27022,CAVAN,Ulster,Castlerahan,867,0,0,766,9,9,0.00,911,911,0,832,0,0.00,901,901,0,816,0,0,0.00
97013,KILKENNY,Leinster,Baunmore,150,0,0,144,0,0,0.00,153,153,1,147,1,0.65,134,134,0,130,0,0,0.00
247084,WEXFORD,Leinster,Limerick,634,0,0,593,0,0,0.00,835,835,0,776,0,0.00,943,943,1,892,1,1,0.11
228016,WATERFORD,Munster,Gracedieu,382,3,3,345,0,0,0.79,1234,1234,34,1030,33,2.67,1662,1662,89,1386,91,107,5.48
67202,GALWAY,Connacht,Sliabh an Aonaigh,682,0,0,631,4,4,0.00,763,763,0,698,0,0.00,763,763,4,700,5,5,0.66
247027,WEXFORD,Leinster,Bree,1167,4,4,1093,0,0,0.34,1386,1386,1,1303,1,0.07,1361,1361,8,1260,9,12,0.66
167020,MEATH,Leinster,Clonmacduff,432,0,0,412,0,1,0.00,468,468,4,443,4,0.85,480,480,4,448,4,4,0.83
27024,CAVAN,Ulster,Cavan Rural,4797,104,106,4054,89,86,2.21,7203,7203,459,5098,504,7.00,8273,8273,560,6102,617,665,7.46
47037,CORK,Munster,Ballynamona,885,0,0,863,0,0,0.00,971,971,8,932,7,0.72,990,990,4,957,4,4,0.40
267049,DUBLIN,Leinster,Clondalkin-Dunawley,10832,254,255,9348,119,116,2.35,10877,10877,472,8973,516,4.74,11323,11323,488,9550,541,547,4.78
17019,CARLOW,Leinster,Garryhill,576,0,0,555,0,0,0.00,589,589,0,560,0,0.00,580,580,1,563,1,0,0.17
137035,LONGFORD,Leinster,Granard Urban,925,68,68,774,12,12,7.35,1021,1021,141,752,149,14.59,1096,1096,164,796,178,188,16.24
